"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Method object ' . . ' must be implemented by Amasty\Sorting\Api\MethodInterface","Method object ' . . ' must be implemented by Amasty\Sorting\Api\MethodInterface"
"$methodObject is not object","$methodObject is not object"
"Error while clear index amasty sorting method: ","Error while clear index amasty sorting method: "
No,No
Yes,Yes
"Yes for Catalog, No for Search","Yes for Catalog, No for Search"
"Minimal Price","Minimal Price"
Price,Price
"Final Price","Final Price"
Relevance,Relevance
"Sorting Order","Sorting Order"
"Improved Sorting","Improved Sorting"
Information,Information
General,General
"Show Products without Images Last","Show Products without Images Last"
"If it is not important, select `No` to optimize server resources usage.","If it is not important, select `No` to optimize server resources usage."
"Show `Out of Stock` Products Last","Show `Out of Stock` Products Last"
"Use qty to determine if the product is `Out of Stock`","Use qty to determine if the product is `Out of Stock`"
"Products with the qty < 1 will be shown last regardless of the stock label.","Products with the qty < 1 will be shown last regardless of the stock label."
"Hide `Position` Sorting Option for Customers","Hide `Position` Sorting Option for Customers"
"Sort attributes descending by default","Sort attributes descending by default"
"Disable Sorting By","Disable Sorting By"
"Press CTRL+mouse to select multiple values. Bestsellers, Most Viewed & Wishlists use Index. ","Press CTRL+mouse to select multiple values. Bestsellers, Most Viewed & Wishlists use Index. "
"Default Sorting on Search Pages","Default Sorting on Search Pages"
"Enable debug mode","Enable debug mode"
"Sort Order","Sort Order"
Newest,Newest
Label,Label
"Attribute Code for the Newest Sorting","Attribute Code for the Newest Sorting"
"Leave empty to use product creation date. If you indicate a custom attribute, make sure `Used in Product Listing` for the attribute is set to `Yes`.","Leave empty to use product creation date. If you indicate a custom attribute, make sure `Used in Product Listing` for the attribute is set to `Yes`."
Bestsellers,Bestsellers
"Bestsellers Period (days)","Bestsellers Period (days)"
"Leave empty for life-time statistics.","Leave empty for life-time statistics."
"Custom Bestsellers Attribute","Custom Bestsellers Attribute"
"Use to artificially move some products up in the real best sellers list. Leave empty to show real data.","Use to artificially move some products up in the real best sellers list. Leave empty to show real data."
"Exclude Orders Status","Exclude Orders Status"
"Products from orders with selected states will not be used in the Bestsellers.","Products from orders with selected states will not be used in the Bestsellers."
"Most viewed","Most viewed"
"Most Viewed Period (days)","Most Viewed Period (days)"
"Custom Most Viewed Attribute","Custom Most Viewed Attribute"
"Use to artificially move some products up in the real most viewed list. Leave empty to show real data.","Use to artificially move some products up in the real most viewed list. Leave empty to show real data."
"Biggest Saving","Biggest Saving"
"Use Percentage for Biggest Saving Sorting","Use Percentage for Biggest Saving Sorting"
"Now in Wishlists","Now in Wishlists"
"Added to wishlist Period (days)","Added to wishlist Period (days)"
"Top Rated","Top Rated"
"Use Yotpo Reviews instead of Magento Reviews","Use Yotpo Reviews instead of Magento Reviews"
"Reviews Count","Reviews Count"
" Amasty Improved Sorting - Bestsellers"," Amasty Improved Sorting - Bestsellers"
"Index Bestsellers. 'Update on Save' - to execute once a day by cron","Index Bestsellers. 'Update on Save' - to execute once a day by cron"
"Amasty Improved Sorting - Most Viewed","Amasty Improved Sorting - Most Viewed"
"Index Product Views. 'Update on Save' - to execute once a day by cron","Index Product Views. 'Update on Save' - to execute once a day by cron"
"Amasty Improved Sorting - Wishlists","Amasty Improved Sorting - Wishlists"
"Index Wishlists. 'Update on Save' - to execute once a day by cron","Index Wishlists. 'Update on Save' - to execute once a day by cron"
"Amasty Improved Sorting - Top Rated","Amasty Improved Sorting - Top Rated"
"Index Top Rated. 'Update on Save' - to execute once a day by cron","Index Top Rated. 'Update on Save' - to execute once a day by cron"
