"Upload Images","Upload Images"
"Your name","Your name"
"Your Email","Your Email"
"Choose Image","Choose Image"
"Add more image","Add more image"
"Customer Product Images","Customer Product Images"
"Product SKU","Product SKU"
"Please enter a product SKU to apply images. This module doesn't support assigning to multiple products at once","Please enter a product SKU to apply images. This module doesn't support assigning to multiple products at once"
"Image","Image"
"Status","Status"
"Customer Email","Customer Email"
