"The option templates have been imported.","The option templates have been imported."
"Invalid file upload attempt","Invalid file upload attempt"
"Something goes wrong while templates import","Something goes wrong while templates import"
"Please, transfer Magento 1 MageWorx Advanced Product Options media folder first or turn on 'Ignore missing images' setting in module configuration","Please, transfer Magento 1 MageWorx Advanced Product Options media folder first or turn on 'Ignore missing images' setting in module configuration"
"MageWorx Option Templates Import/Export ","MageWorx Option Templates Import/Export "
"Invalid file data","Invalid file data"
"Data for import not found","Data for import not found"
"Data for option template not found","Data for option template not found"
"Template's field '%1' not found or empty","Template's field '%1' not found or empty"
"Template's field '%1' not found","Template's field '%1' not found"
"Option's field '%1' not found or empty","Option's field '%1' not found or empty"
"Option's field '%1' not found","Option's field '%1' not found"
"Selectable option doesn't have values","Selectable option doesn't have values"
"Option value's field '%1' not found or empty","Option value's field '%1' not found or empty"
"Option value's field '%1' not found","Option value's field '%1' not found"
"Please, link system specific data for Magento/Magento 2 and upload the file once again.","Please, link system specific data for Magento/Magento 2 and upload the file once again."
"Please, avoid assignment of stores and customer groups to the same entities.","Please, avoid assignment of stores and customer groups to the same entities."
"File %1 doesn't exist.","File %1 doesn't exist."
"Customer Groups","Customer Groups"
"Select equivalent for M1 customer group","Select equivalent for M1 customer group"
Ignore,Ignore
Stores,Stores
"Select equivalent for M1 store","Select equivalent for M1 store"
Import,Import
"Import Magento 1 Option Templates","Import Magento 1 Option Templates"
"Option Import Export Section (by MageWorx)","Option Import Export Section (by MageWorx)"
"Ignore Missing Images","Ignore Missing Images"
"Import/Export Option Templates","Import/Export Option Templates"
"Option Import Export","Option Import Export"
"Missing MageWorx image file","Missing MageWorx image file"
