"Shipping Method","Shipping Method"
Title,Title
"Add Title","Add Title"
Back,Back
Save,Save
"Save & New","Save & New"
"Save & Close","Save & Close"
"Store View Specific Labels","Store View Specific Labels"
"Save and Continue Edit","Save and Continue Edit"
"Store View Specific Estimated Delivery Time Messages","Store View Specific Estimated Delivery Time Messages"
"MageWorx Shipping Rules","MageWorx Shipping Rules"
"Add New Rule","Add New Rule"
Duplicate,Duplicate
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Rule Information","Rule Information"
Actions,Actions
"Hide Shipping Method","Hide Shipping Method"
"Disabled Shipping Methods","Disabled Shipping Methods"
"Display Error Message","Display Error Message"
"If selected, the error message will be displayed instead of a disabled delivery method","If selected, the error message will be displayed instead of a disabled delivery method"
"Error Message","Error Message"
"Store specific error messages for the disabled shipping methods.","Store specific error messages for the disabled shipping methods."
" "," "
"Modify Shipping Cost","Modify Shipping Cost"
Modifier,Modifier
"Note: the ""per Item"" action uses each row in customers cart as multiplier (5 same products
                                in one row and 2 same items in another row = 2 qty), the ""per Product"" action uses an
                                each valid items qty as multiplier (5 same products in one row and 2 same items in
                                another row = 7 qty).","Note: the ""per Item"" action uses each row in customers cart as multiplier (5 same products
                                in one row and 2 same items in another row = 2 qty), the ""per Product"" action uses an
                                each valid items qty as multiplier (5 same products in one row and 2 same items in
                                another row = 7 qty)."
"Apply to Shipping Methods","Apply to Shipping Methods"
"Rule's Action","Rule's Action"
Type,Type
"Stop Further Processing","Stop Further Processing"
Conditions,Conditions
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
"Apply to Items","Apply to Items"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Apply the rule only to cart items matching the following conditions (leave blank for all items)."
"Apply To","Apply To"
"General Information","General Information"
"Rule Name","Rule Name"
Description,Description
Status,Status
Active,Active
Inactive,Inactive
Priority,Priority
"The Rule with a max priority (e.g. 999) will be applied first, then will be applied the
                                rule with a lower priority (e.g. 100). The Rule with the lowest priority (e.g. 0) will
                                be applied at the end.","The Rule with a max priority (e.g. 999) will be applied first, then will be applied the
                                rule with a lower priority (e.g. 100). The Rule with the lowest priority (e.g. 0) will
                                be applied at the end."
"Store View","Store View"
"Customer Groups","Customer Groups"
"Available On","Available On"
From,From
To,To
"Use Time","Use Time"
Yes,Yes
Time,Time
"Time when Rule is","Time when Rule is"
"Shipping Rules","Shipping Rules"
ID,ID
Rule,Rule
Start,Start
End,End
"Edit location group '%1'","Edit location group '%1'"
"New location group","New location group"
"Location Group Information","Location Group Information"
"Apply the rule only if the following conditions are met.","Apply the rule only if the following conditions are met."
"Location Group Name","Location Group Name"
"Location Group","Location Group"
"Data has been imported.","Data has been imported."
"Invalid file upload attempt","Invalid file upload attempt"
"Shipping Carriers, Methods and Rates","Shipping Carriers, Methods and Rates"
